Pot number,Treatment [mM NO3],SLA [cm2/g]
1,0,184.383
2,2,194.694
3,8,263.029
4,16,335.738
5,8,351.844
6,16,347.461
7,2,229.386
8,24,391.596
9,8,252.234
10,16,340.354
11,0,177.123
12,0,179.007
13,0,157.303
14,24,463.746
15,0,195.483
16,2,197.975
17,2,206.747
18,8,350.278
19,16,274.58
20,8,299.084
21,16,338.415
22,24,354.349
23,2,221.169
24,16,325.908
25,16,320.643
26,24,368.025
27,24,361.975
28,24,309.876
29,0,203.174
30,8,275.493
31,24,324.126
32,24,357.645
33,8,285.807
34,0,156.729
35,16,255.408
36,0,195.429
37,16,306.938
38,2,236.586
39,0,155.632
40,0,144.004
41,16,380.002
42,8,336.536
43,24,387.716
44,8,243.442
45,24,336.764
46,24,361.43
47,0,170.866
48,2,214.625
49,8,293.055
50,0,184.599
51,2,182.155
52,24,428.609
53,2,248.773
54,8,303.482
55,2,224.368
56,2,262.43
57,8,290.05
58,16,289.327
59,2,231.296
60,16,325.02
